====================
Prob: 0.6
nodes: 40
Node have file: 15
=====================1
ExperimentServent(0x9a20a8): result: 1, tx: 53, rx: 43
ExperimentServent(0x9a2520): result: 1, tx: 3, rx: 29
ExperimentServent(0x9a2518): result: 1, tx: 85, rx: 41
ExperimentServent(0x9a2080): result: 1, tx: 98, rx: 59
ExperimentServent(0x9a20d0): result: 1, tx: 3, rx: 33
ExperimentServent(0x9a2540): result: 1, tx: 3, rx: 19
ExperimentServent(0x9a20b2): result: 1, tx: 125, rx: 86
ExperimentServent(0x9a2548): result: 1, tx: 81, rx: 143
ExperimentServent(0x9a2530): result: 1, tx: 4, rx: 33
ExperimentServent(0x9a2538): result: 1, tx: 35, rx: 26
ExperimentServent(0x9a2528): result: 1, tx: 4, rx: 34
ExperimentServent(0x9a20f8): result: 1, tx: 81, rx: 39
ExperimentServent(0x9a2504): result: 1, tx: 3, rx: 21
ExperimentServent(0x9a250e): result: 1, tx: 3, rx: 25
================================================================9
ExperimentServent(0x9f3c3c): result: 1, tx: 167, rx: 76
ExperimentServent(0x9f4c58): result: 1, tx: 32, rx: 41
ExperimentServent(0x9f3c72): result: 1, tx: 75, rx: 49
ExperimentServent(0x9f4c76): result: 1, tx: 4, rx: 34
ExperimentServent(0x9f4cbc): result: 1, tx: 4, rx: 33
ExperimentServent(0x9f4c3c): result: 1, tx: 26, rx: 27
ExperimentServent(0x9f4c62): result: 1, tx: 4, rx: 33
ExperimentServent(0x9f4c8a): result: 1, tx: 72, rx: 66
ExperimentServent(0x9f4c6c): result: 1, tx: 61, rx: 34
ExperimentServent(0x9f5140): result: 1, tx: 89, rx: 116
ExperimentServent(0x9f5148): result: 1, tx: 4, rx: 55
ExperimentServent(0x9f3cec): result: 1, tx: 39, rx: 29
ExperimentServent(0x9f4ce4): result: 1, tx: 56, rx: 32
ExperimentServent(0x9f4c94): result: 1, tx: 4, rx: 27
ExperimentServent(0x9f4cb2): result: 1, tx: 26, rx: 22
ExperimentServent(0x9f5120): result: 1, tx: 23, rx: 26
ExperimentServent(0x9f4c9e): result: 1, tx: 4, rx: 32
ExperimentServent(0x9f4c44): result: 1, tx: 4, rx: 35
ExperimentServent(0x9f510e): result: 1, tx: 25, rx: 30
ExperimentServent(0x9f4ca8): result: 1, tx: 30, rx: 37
ExperimentServent(0x9f4cc6): result: 1, tx: 77, rx: 32
ExperimentServent(0x9f5128): result: 1, tx: 58, rx: 40
ExperimentServent(0x9f5104): result: 1, tx: 48, rx: 31
ExperimentServent(0x9f5118): result: 1, tx: 75, rx: 44
ExperimentServent(0x9f5130): result: 1, tx: 72, rx: 35
ExperimentServent(0x9f4cda): result: 1, tx: 107, rx: 64
ExperimentServent(0x9f5138): result: 1, tx: 89, rx: 31
ExperimentServent(0x9f4cee): result: 1, tx: 4, rx: 45
ExperimentServent(0x9f4cf8): result: 1, tx: 91, rx: 50
ExperimentServent(0x9f4cd0): result: 1, tx: 121, rx: 57
================================================================10
ExperimentServent(0x9fd0a8): result: 1, tx: 4, rx: 29
ExperimentServent(0x9fc020): result: 1, tx: 22, rx: 22
ExperimentServent(0x9fd044): result: 1, tx: 4, rx: 26
ExperimentServent(0x9fd062): result: 1, tx: 4, rx: 33
ExperimentServent(0x9fd04e): result: 1, tx: 80, rx: 76
ExperimentServent(0x9fc072): result: 1, tx: 41, rx: 31
ExperimentServent(0x9fd08a): result: 1, tx: 49, rx: 30
ExperimentServent(0x9fd0c6): result: 1, tx: 4, rx: 30
ExperimentServent(0x9fd0bc): result: 1, tx: 58, rx: 26
ExperimentServent(0x9fd0da): result: 1, tx: 4, rx: 33
ExperimentServent(0x9fd504): result: 1, tx: 4, rx: 31
ExperimentServent(0x9fd0e4): result: 1, tx: 4, rx: 33
ExperimentServent(0x9fd076): result: 1, tx: 138, rx: 83
ExperimentServent(0x9fd09e): result: 1, tx: 4, rx: 32
ExperimentServent(0x9fd0ee): result: 1, tx: 72, rx: 43
ExperimentServent(0x9fd058): result: 1, tx: 27, rx: 32
ExperimentServent(0x9fd0d0): result: 1, tx: 4, rx: 28
ExperimentServent(0x9fd548): result: 1, tx: 72, rx: 39
ExperimentServent(0x9fd528): result: 1, tx: 4, rx: 37
ExperimentServent(0x9fd50e): result: 1, tx: 27, rx: 28
ExperimentServent(0x9fd03c): result: 1, tx: 88, rx: 29
ExperimentServent(0x9fd540): result: 1, tx: 46, rx: 27
ExperimentServent(0x9fd080): result: 1, tx: 123, rx: 65
ExperimentServent(0x9fd520): result: 1, tx: 26, rx: 24
ExperimentServent(0x9fd518): result: 1, tx: 58, rx: 32
ExperimentServent(0x9fd0f8): result: 1, tx: 4, rx: 33
ExperimentServent(0x9fd06c): result: 1, tx: 89, rx: 139
ExperimentServent(0x9fd538): result: 1, tx: 58, rx: 20
ExperimentServent(0x9fd530): result: 1, tx: 95, rx: 31




