====================
density: 0.4
nodes: 30
Node have file: 1
=====================
ExperimentServent(0xb73e448c): result: 1, tx: 354, rx: 234
ExperimentServent(0xb7371d8c): result: 1, tx: 169, rx: 137
ExperimentServent(0xb73e406c): result: 1, tx: 119, rx: 147
ExperimentServent(0xb737188c): result: 1, tx: 155, rx: 136
ExperimentServent(0xb73719cc): result: 1, tx: 274, rx: 167
ExperimentServent(0xb73717ec): result: 1, tx: 165, rx: 190
ExperimentServent(0xb7371e2c): result: 1, tx: 88, rx: 220
ExperimentServent(0xb737706c): result: 1, tx: 144, rx: 166
ExperimentServent(0xb73771ec): result: 1, tx: 91, rx: 186
ExperimentServent(0xb737174c): result: 1, tx: 209, rx: 240
ExperimentServent(0xb7371b0c): result: 1, tx: 356, rx: 228
ExperimentServent(0xb7371cec): result: 1, tx: 68, rx: 81
ExperimentServent(0xb7371ecc): result: 1, tx: 39, rx: 90
ExperimentServent(0xb7371a6c): result: 1, tx: 34, rx: 66
ExperimentServent(0xb73e4dac): result: 1, tx: 285, rx: 200
ExperimentServent(0xb737712c): result: 1, tx: 249, rx: 197
ExperimentServent(0xb73e42ac): result: 1, tx: 287, rx: 233
=====================
ExperimentServent(0xb737a4ac): result: 1, tx: 283, rx: 181
ExperimentServent(0xb737a6ac): result: 1, tx: 311, rx: 212
ExperimentServent(0xb737a7ec): result: 1, tx: 27, rx: 166
ExperimentServent(0xb73ed2ac): result: 1, tx: 37, rx: 186
ExperimentServent(0xb73ebfac): result: 1, tx: 240, rx: 183
ExperimentServent(0xb737ab0c): result: 1, tx: 149, rx: 149
ExperimentServent(0xb737a5ac): result: 1, tx: 293, rx: 153
ExperimentServent(0xb73ed10c): result: 1, tx: 206, rx: 184
ExperimentServent(0xb737a9cc): result: 1, tx: 184, rx: 229
ExperimentServent(0xb737ad8c): result: 1, tx: 46, rx: 158
ExperimentServent(0xb7377e6c): result: 1, tx: 56, rx: 98
ExperimentServent(0xb737af8c): result: 1, tx: 187, rx: 165
ExperimentServent(0xb737ac4c): result: 1, tx: 59, rx: 152
ExperimentServent(0xb73801ec): result: 1, tx: 88, rx: 198
ExperimentServent(0xb73ed48c): result: 1, tx: 155, rx: 147
ExperimentServent(0xb737a88c): result: 1, tx: 162, rx: 111
ExperimentServent(0xb73ed06c): result: 1, tx: 127, rx: 186
ExperimentServent(0xb737abac): result: 1, tx: 84, rx: 146
ExperimentServent(0xb737aecc): result: 1, tx: 134, rx: 145
ExperimentServent(0xb738006c): result: 1, tx: 105, rx: 141
ExperimentServent(0xb737a74c): result: 1, tx: 273, rx: 235
ExperimentServent(0xb73eddac): result: 1, tx: 127, rx: 150
ExperimentServent(0xb737a92c): result: 1, tx: 371, rx: 243
ExperimentServent(0xb73ebfcc): result: 1, tx: 375, rx: 236
ExperimentServent(0xb737ae2c): result: 1, tx: 100, rx: 142
ExperimentServent(0xb737a62c): result: 1, tx: 145, rx: 186
ExperimentServent(0xb737a52c): result: 1, tx: 88, rx: 202
ExperimentServent(0xb737acec): result: 1, tx: 278, rx: 178
ExperimentServent(0xb738012c): result: 1, tx: 414, rx: 263
ExperimentServent(0xb737aa6c): result: 1, tx: 63, rx: 42
=====================
ExperimentServent(0xb74132ac): result: 1, tx: 82, rx: 128
ExperimentServent(0xb739de6c): result: 1, tx: 322, rx: 219
ExperimentServent(0xb73a052c): result: 1, tx: 340, rx: 200
ExperimentServent(0xb7411fac): result: 1, tx: 47, rx: 163
ExperimentServent(0xb73a04ac): result: 1, tx: 265, rx: 132
ExperimentServent(0xb73a062c): result: 1, tx: 153, rx: 168
ExperimentServent(0xb7413dac): result: 1, tx: 41, rx: 155
ExperimentServent(0xb73a06ac): result: 1, tx: 265, rx: 180
ExperimentServent(0xb741306c): result: 1, tx: 245, rx: 162
ExperimentServent(0xb7411fcc): result: 1, tx: 80, rx: 109
ExperimentServent(0xb741348c): result: 1, tx: 174, rx: 141
ExperimentServent(0xb73a0bac): result: 1, tx: 77, rx: 197
ExperimentServent(0xb73a0a6c): result: 1, tx: 27, rx: 150
